Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	s_1399[c] + s_1475[c]  -> s_5387[c] + s_0456[c] + s_0794[c] 	( KLMA_30105 or KLMA_30148 or KLMA_60075 )	 -0.00	1000.00	  0.00
r_0002	s_1401[m] + s_1477[m]  -> s_5388[m] + s_0460[m] + s_0799[m] 	( KLMA_20278 and KLMA_20172 )	 -0.00	1000.00	  0.00
r_0003	s_0394[c] + s_0794[c] + s_1360[c]  -> s_0434[c] + s_1399[c] 	KLMA_60219	 -0.00	1000.00	  0.00
r_0004	s_0362[c] + s_0434[c] + s_0529[c]  -> s_0373[c] + s_0423[c] + s_0633[c] 	( KLMA_30602 or KLMA_50533 )	 -0.00	1000.00	  0.00
r_0005	s_0434[c] + s_1271[c]  -> s_0394[c] + s_0456[c] + s_1360[c] 	KLMA_30719	 -0.00	1000.00	  0.00
r_0006	s_0188[c]  <=> s_0803[c] + s_1360[c] 	KLMA_10462	-1000.00	1000.00	  0.00
r_0007	s_0359[c] + s_0803[c] + s_1198[c]  -> s_0362[c] + 2 s_0794[c] + s_1203[c] 	( KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672 )	 -0.00	1000.00	  0.00
r_0008	s_0361[m] + s_0807[m] + s_1200[m]  -> s_0365[m] + 2 s_0799[m] + s_1205[m] 	( KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672 )	 -0.00	1000.00	  0.00
r_0009	s_0359[c] + s_0803[c] + s_1207[c]  -> s_0362[c] + 2 s_0794[c] + s_1212[c] 	( KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672 )	 -0.00	1000.00	  0.00
r_0010	s_0361[m] + s_0807[m] + s_1210[m]  -> s_0365[m] + 2 s_0799[m] + s_1214[m] 	( KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672 )	 -0.00	1000.00	  0.00
r_0011	s_0359[c] + s_0794[c] + s_1212[c]  -> s_0680[c] + s_1207[c] 	( KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425 )	 -0.00	1000.00	  0.00
r_0012	s_0361[m] + s_0799[m] + s_1214[m]  -> s_0682[m] + s_1210[m] 	( KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425 )	 -0.00	1000.00	  0.00
r_0013	s_0359[c] + s_0794[c] + s_1203[c]  -> s_0680[c] + s_1198[c] 	( KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_20005 or KLMA_50315 or KLMA_40624 )	 -0.00	1000.00	  0.00
r_0014	s_0361[m] + s_0799[m] + s_1205[m]  -> s_0682[m] + s_1200[m] 	( KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_20005 or KLMA_50315 or KLMA_40624 )	 -0.00	1000.00	  0.00
r_0015	s_0680[c] + s_1198[c]  -> s_0359[c] + s_0794[c] + s_1203[c] 	KLMA_40220	 -0.00	1000.00	  0.00
r_0016	s_0373[c] + s_0680[c]  -> s_0529[c] + s_0685[c] 	KLMA_30203	 -0.00	1000.00	  0.00
r_0017	s_0685[c] + s_0803[c]  -> s_0362[c] + s_0680[c] + s_0794[c] 	KLMA_20604	 -0.00	1000.00	  0.00
r_0018	s_5387[c] + 2 s_0794[c]  -> s_0359[c] + s_1475[c] 	KLMA_60075	 -0.00	1000.00	  0.00
r_0019	s_0567[c]  -> s_5170[c] 	KLMA_80051	 -0.00	1000.00	  0.00
r_0020	s_5035[c]  <=> s_0629[c] 	KLMA_40125	-1000.00	1000.00	  0.00
r_0021	s_5035[c] + s_1198[c] + s_1322[c]  <=> s_0075[c] + s_0794[c] + s_1203[c] 	( KLMA_80059 or KLMA_40218 or KLMA_20296 )	-1000.00	1000.00	  0.00
r_0022	s_5433[c]  <=> s_5035[c] + s_0629[c] 	KLMA_40388	-1000.00	1000.00	  0.00
r_0023	s_0260[c] + s_0434[c]  <=> s_0075[c] + s_0394[c] 	KLMA_10540	-1000.00	1000.00	  0.00
r_0024	s_0188[c]  <=> s_0260[c] 	( KLMA_40124 or KLMA_20098 or KLMA_10182 or KLMA_10305 )	-1000.00	1000.00	  0.00
r_0025	s_0434[c] + s_5065[c]  -> s_0394[c] + s_5217[c] + s_0794[c] 	KLMA_10051	 -0.00	1000.00	  0.00
r_0026	s_5088[c]  <=> s_5065[c] 	KLMA_20332	-1000.00	1000.00	  0.00
