Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	s_1399[c] + s_1475[c]  -> C05125_c[c] + s_0456[c] + s_0794[c] 	((ILV2_KLMA_30105) or (ILV6_KLMA_30148) or (PDC1_KLMA_60075))	 -0.00	1000.00	  0.00
r_0002	s_1401[m] + s_1477[m]  -> C05125_m[m] + s_0460[m] + s_0799[m] 	((PDB1_KLMA_20278) and (PDA1_KLMA_20172))	 -0.00	1000.00	  0.00
r_0003	s_0394[c] + s_0794[c] + s_1360[c]  -> s_0434[c] + s_1399[c] 	(CDC19_KLMA_60219)	 -0.00	1000.00	  0.00
r_0004	s_0362[c] + s_0434[c] + s_0529[c]  -> s_0373[c] + s_0423[c] + s_0633[c] 	((ACS1_KLMA_30602) or (ACS2_KLMA_50533))	 -0.00	1000.00	  0.00
r_0005	s_0434[c] + s_1271[c]  -> s_0394[c] + s_0456[c] + s_1360[c] 	(PCK1_KLMA_30719)	 -0.00	1000.00	  0.00
r_0006	s_0188[c]  <=> s_0803[c] + s_1360[c] 	(ENO1_KLMA_10462)	-1000.00	1000.00	  0.00
r_0007	s_0359[c] + s_0803[c] + s_1198[c]  -> s_0362[c] + 2 s_0794[c] + s_1203[c] 	((ALD2_KLMA_20673) or (ALD4_KLMA_50012) or (ALD5_KLMA_40404) or (ALD6_KLMA_10742) or (aldA_KLMA_20672))	 -0.00	1000.00	  0.00
r_0008	s_0361[m] + s_0807[m] + s_1200[m]  -> s_0365[m] + 2 s_0799[m] + s_1205[m] 	((ALD2_KLMA_20673) or (ALD4_KLMA_50012) or (ALD5_KLMA_40404) or (ALD6_KLMA_10742) or (aldA_KLMA_20672))	 -0.00	1000.00	  0.00
r_0009	s_0359[c] + s_0803[c] + s_1207[c]  -> s_0362[c] + 2 s_0794[c] + s_1212[c] 	((ALD2_KLMA_20673) or (ALD4_KLMA_50012) or (ALD5_KLMA_40404) or (ALD6_KLMA_10742) or (aldA_KLMA_20672))	 -0.00	1000.00	  0.00
r_0010	s_0361[m] + s_0807[m] + s_1210[m]  -> s_0365[m] + 2 s_0799[m] + s_1214[m] 	((ALD2_KLMA_20673) or (ALD4_KLMA_50012) or (ALD5_KLMA_40404) or (ALD6_KLMA_10742) or (aldA_KLMA_20672))	 -0.00	1000.00	  0.00
